Container, 0, 0, 0, 3.72144, 3.72144, 0
Container, 0, THREAD, 0, 3.72144, 3.72144, zero
State, 8589934592, STATE, 1.673499, 1.673732, 0.000233, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.673732, 1.673947, 0.000215, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.673947, 1.674182, 0.000235, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.674182, 1.674358, 0.000176, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.674358, 1.675137, 0.000779, 5.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.675137, 1.675644, 0.000507, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.675644, 1.675851, 0.000207, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.675851, 1.676036, 0.000185, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.676036, 1.676231, 0.000195, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.676231, 1.676407, 0.000176, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.676407, 1.676920, 0.000513, 5.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.676920, 1.677380, 0.000460, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.677380, 1.677583, 0.000203, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.677583, 1.677794, 0.000211, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.677794, 1.677986, 0.000192, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.677986, 1.678163, 0.000177, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.678163, 1.678673, 0.000510, 5.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.678673, 1.679089, 0.000416, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.679089, 1.679282, 0.000193, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.679282, 1.679459, 0.000177, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.679459, 1.679646, 0.000187, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.679646, 1.679814, 0.000168, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.679814, 1.680288, 0.000474, 5.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.680288, 1.680709, 0.000421, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.680709, 1.680936, 0.000227, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.680936, 1.681127, 0.000191, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.681127, 1.681297, 0.000170, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.681297, 1.681462, 0.000165, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.681462, 1.681945, 0.000483, 5.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.681945, 1.682360, 0.000415, 6.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.682360, 1.682585, 0.000225, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.682585, 1.683707, 0.001122, 8.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.683707, 1.683947, 0.000240, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.683947, 1.684457, 0.000510, 8.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.684457, 1.684661, 0.000204, 7.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.684661, 1.686115, 0.001454, 8.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.686115, 1.686843, 0.000728, 9.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.686843, 1.687957, 0.001114, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.687957, 1.688670, 0.000713, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.688670, 1.688879, 0.000209, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.688879, 1.689397, 0.000518, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.689397, 1.689580, 0.000183, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.689580, 1.690147, 0.000567, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.690147, 1.690319, 0.000172, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.690319, 1.690860, 0.000541, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.690860, 1.691015, 0.000155, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.691015, 1.691551, 0.000536, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.691551, 1.691706, 0.000155, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.691706, 1.692235, 0.000529, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.692235, 1.692387, 0.000152, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.692387, 1.692825, 0.000438, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.692825, 1.692989, 0.000164, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.692989, 1.693555, 0.000566, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.693555, 1.693717, 0.000162, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.693717, 1.694221, 0.000504, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.694221, 1.694378, 0.000157, 10.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.694378, 1.694878, 0.000500, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.694878, 1.695031, 0.000153, 10.000000, !$omp atomic @floorplan.c:572 <7>
