State, 8589934592, STATE, 1.694378, 1.694878, 0.000500, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.695031, 1.695512, 0.000481, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.695666, 1.696226, 0.000560, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.696381, 1.697718, 0.001337, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.697909, 1.698411, 0.000502, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.698566, 1.699054, 0.000488, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.699210, 1.699723, 0.000513, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.699882, 1.700374, 0.000492, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.700625, 1.701125, 0.000500, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.701282, 1.703232, 0.001950, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.703468, 1.704024, 0.000556, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.704183, 1.704722, 0.000539, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.704875, 1.705361, 0.000486, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.705517, 1.705909, 0.000392, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.706077, 1.707379, 0.001302, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.707537, 1.708032, 0.000495, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.708191, 1.708679, 0.000488, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.708832, 1.709312, 0.000480, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.709465, 1.709936, 0.000471, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.710092, 1.711360, 0.001268, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.711518, 1.712018, 0.000500, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.712174, 1.712654, 0.000480, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.712811, 1.713282, 0.000471, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.713505, 1.713976, 0.000471, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.714132, 1.714559, 0.000427, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.714717, 1.715921, 0.001204, 11.000000, !$omp create task @floorplan.c:530 <3>
