Container, 0, 0, 0, 4.19993, 4.19993, 0
Container, 0, THREAD, 0, 4.19993, 4.19993, zero
State, 8589934592, STATE, 3.418746, 3.419269, 0.000523, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.419425, 3.419950, 0.000525, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.420108, 3.421431, 0.001323, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.421589, 3.422111, 0.000522, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.422317, 3.422835, 0.000518, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.422993, 3.423498, 0.000505, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.423656, 3.424162, 0.000506, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.424319, 3.425769, 0.001450, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.425923, 3.426445, 0.000522, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.426603, 3.427116, 0.000513, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.427275, 3.427795, 0.000520, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.427949, 3.428458, 0.000509, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.428612, 3.429995, 0.001383, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.430153, 3.430683, 0.000530, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.430841, 3.431418, 0.000577, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.431575, 3.432096, 0.000521, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.432250, 3.432851, 0.000601, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.433009, 3.433527, 0.000518, 5.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.433710, 4.009078, 0.575368, 5.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, 8589934592, STATE, 3.435032, 3.435831, 0.000799, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.436556, 3.437031, 0.000475, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.437542, 3.437987, 0.000445, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.438430, 3.438852, 0.000422, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.439235, 3.439662, 0.000427, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.440064, 3.440486, 0.000422, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.440933, 3.441355, 0.000422, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.441815, 3.442262, 0.000447, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.442682, 3.443135, 0.000453, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.443522, 3.443937, 0.000415, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.444354, 3.444777, 0.000423, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.445128, 3.445568, 0.000440, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.445935, 3.446346, 0.000411, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.446720, 3.447131, 0.000411, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.447468, 3.447915, 0.000447, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.448251, 3.448651, 0.000400, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.449095, 3.449615, 0.000520, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.450020, 3.450417, 0.000397, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.450817, 3.451212, 0.000395, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.451611, 3.452008, 0.000397, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.452346, 3.452744, 0.000398, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.453077, 3.453468, 0.000391, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.453868, 3.454260, 0.000392, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.454659, 3.455071, 0.000412, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.455428, 3.455823, 0.000395, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.456170, 3.456555, 0.000385, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.456931, 3.457313, 0.000382, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.457766, 3.458149, 0.000383, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.458496, 3.458901, 0.000405, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.459256, 3.459687, 0.000431, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.460019, 3.460403, 0.000384, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.460735, 3.461164, 0.000429, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.461494, 3.461881, 0.000387, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.462208, 3.462618, 0.000410, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.462968, 3.463348, 0.000380, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.463756, 3.464138, 0.000382, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.464491, 3.464874, 0.000383, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.465292, 3.465671, 0.000379, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.466106, 3.511824, 0.045718, 6.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.466503, 3.511656, 0.045153, 7.000000, !$omp atomic @tied-floorplan.c:572 <7>
State, 8589934592, STATE, 3.466807, 3.467493, 0.000686, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.467680, 3.468221, 0.000541, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.468388, 3.468810, 0.000422, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
